ISSUE_DATE;FLIGHT_DATE_LOC;PAX_TYPE;REVENUE_AMOUNT;ORIG_CITY_CODE;DEST_CITY_CODE;ROUTE_FLIGHT_TYPE;FFP_FLAG;SALE_TYPE
28.12.2021 0:00;07.01.2022 0:00;AD;260;GOJ;MOW;ВВЛ;;OFFLINE
14.12.2021 0:00;05.01.2022 0:00;AD;280;MOW;ROV;ВВЛ;;ONLINE
15.12.2021 0:00;23.01.2022 0:00;AD;330;PKC;VVO;ВВЛ;FFP;ONLINE
27.11.2021 0:00;10.01.2022 0:00;AD;330;KRR;MOW;ВВЛ;FFP;ONLINE
04.12.2021 0:00;04.01.2022 0:00;AD;330;OVB;KZN;ВВЛ;;OFFLINE
09.12.2021 0:00;14.01.2022 0:00;AD;360;UUD;MOW;ВВЛ;FFP;ONLINE
15.12.2021 0:00;14.01.2022 0:00;AD;150;MOW;AER;ВВЛ;FFP;ONLINE
15.12.2021 0:00;04.01.2022 0:00;AD;440;MOW;BAX;ВВЛ;FFP;ONLINE
15.12.2021 0:00;09.01.2022 0:00;AD;670;MMK;MOW;ВВЛ;;ONLINE
01.12.2021 0:00;03.01.2022 0:00;AD;220;KZN;MOW;ВВЛ;;OFFLINE
15.12.2021 0:00;18.01.2022 0:00;AD;240;ABA;OVB;ВВЛ;;ONLINE
05.12.2021 0:00;02.01.2022 0:00;AD;470;UUS;VVO;ВВЛ;;OFFLINE
15.12.2021 0:00;29.01.2022 0:00;AD;300;NOJ;OVB;ВВЛ;;ONLINE
27.11.2021 0:00;10.01.2022 0:00;AD;310;CEK;MOW;ВВЛ;FFP;OFFLINE
05.12.2021 0:00;01.01.2022 0:00;CHD;130;GDZ;MOW;ВВЛ;;ONLINE
17.12.2021 0:00;10.01.2022 0:00;AD;790;OVB;PKC;ВВЛ;;OFFLINE
09.12.2021 0:00;31.01.2022 0:00;AD;950;HKT;VVO;МВЛ;;ONLINE
09.12.2021 0:00;01.01.2022 0:00;AD;340;MOW;UFA;ВВЛ;FFP;ONLINE
15.12.2021 0:00;10.01.2022 0:00;AD;280;KRR;MOW;ВВЛ;FFP;ONLINE
05.12.2021 0:00;04.01.2022 0:00;AD;570;MOW;RGK;ВВЛ;FFP;ONLINE
